name,cpf,score
PHYLLIS BERRY,01356487262,94.6
NICHOLAS GILBERT,01356287417,77.19
KATHERINE STEPHENS,01356284744,98.31
SEAN HAWKINS,01356248780,84.48
MARIE GRANT,01354876253,89.9
THERESA REYES,01354786262,85.53
ANDREW RAMOS,01367428580,79.66
TERESA BLACK,01365742890,79.28
JUDITH MORENO,01365724808,76.5
DIANE MOORE,01365487253,95.28
CLARENCE LAWSON,01362745871,89.37
BEVERLY NGUYEN,01362457817,85.32
LOIS JORDAN,01358746290,82.44
DOUGLAS STEWART,01358726426,81.56
DEBORAH GUTIERREZ,01358672407,99.21
KENNETH BURTON,01358642753,71.85
ANGELA WALKER,01376542862,87.64
WAYNE SULLIVAN,01376285444,89.03
RONALD CARPENTER,01376248590,78.42
MILDRED SIMS,01375862480,84.69
SARAH MORGAN,01375682407,82.3
KENNETH GIBSON,01375628453,92.76
AMY WRIGHT,01375482653,91.29
LOUISE FOWLER,01374852635,97.28
LOIS RYAN,01374685208,83.1
GEORGE STONE,01372685480,93.33
BILLY RUIZ,01384265708,98.62
JULIE WOODS,01382765444,71.09
KATHRYN CARPENTER,01382547617,74
ALAN GIBSON,01382475608,96.89
CHARLES MONTGOMERY,01378524608,88.57
HARRY HUGHES,01378462580,76.28
PAUL COLE,01378456262,99.84
JUAN BLACK,01378265408,78.37
FRANK ADAMS,01376845253,86.42
ANDREW REID,01376548208,84.58
TERESA BOYD,01425386717,93.44
DENISE ROSS,01425376835,95.64
BILLY FRAZIER,01423756835,74.45
DEBORAH BURKE,01423685717,88.31
DAVID SCOTT,01423658744,85.34
WAYNE HALL,01387465244,77.32
RYAN FERGUSON,01386475262,97.34
JOHN PIERCE,01386275417,89.24
VICTOR DAY,01385762462,78.92
SAMUEL REYNOLDS,01385427671,97
JUAN BELL,01427568308,78.31
PETER ARNOLD,01427563853,77.89
KEITH HARRIS,01427385653,99.43
JIMMY WAGNER,01427358680,78.54
CAROLYN CARROLL,01426873590,76.38
JOAN HARVEY,01426853726,76.99
TINA LAWRENCE,01426783507,89.28
MARILYN DIXON,01426738544,87.36
EARL LEWIS,01425836771,96.35
DONALD PEREZ,01425768326,74.25
KATHRYN KELLEY,01435682726,96.73
LARRY WEAVER,01435628780,76.44
DENISE PERKINS,01435287690,95.49
BRANDON RICE,01432658735,77.88
JIMMY CARR,01428756353,78.78
LARRY MORRIS,01428536744,94.45
JOSEPH ANDREWS,01428375635,74.93
DORIS FLORES,01427856362,83.55
DONNA CHAVEZ,01427653844,79.64
JUDITH FRANKLIN,01427583617,94.96
LAURA HILL,01452368708,92.38
STEPHEN FOWLER,01438652771,93.23
HARRY SIMMONS,01438276508,94.91
FRED WELLS,01437865208,72.44
JAMES FOWLER,01437562817,98.08
ELIZABETH SIMMONS,01437258662,76.9
LOUISE FORD,01437256880,98.12
JUDY DAVIS,01436287553,79.09
SANDRA DANIELS,01435867262,79.63
MARTHA LANE,01435728653,89.82
MARIA PERKINS,01457268353,78.52
BILLY PATTERSON,01456873253,86.02
PHYLLIS DUNCAN,01456782371,99.31
CHRISTINE MARSHALL,01456732862,79.78
SARAH PIERCE,01456278371,91.95
CAROL MEDINA,01456237853,71.79
CARLOS GRANT,01452873607,71.48
RUTH CARTER,01452867380,94.53
ARTHUR SULLIVAN,01452637890,81.09
NICOLE PAYNE,01452387680,94.11
GREGORY HERNANDEZ,01465327835,99.54
ROBIN OLSON,01463728590,96.83
DANIEL GRANT,01462375871,74.41
ROBIN DIAZ,01458723607,97.54
DIANA ROSS,01458673235,71.21
NICOLE GRAHAM,01458236790,87.7
LISA ELLIS,01457832607,78.23
RYAN ANDERSON,01457682362,71.92
ALBERT HARVEY,01457628317,92.64
DIANE HOWARD,01457286335,82.96
MARIA MARSHALL,01472836553,84.55
SANDRA WARD,01472685326,73
RONALD WASHINGTON,01472638590,98.39
JANET WOODS,01468725335,86.07
SARA CASTILLO,01468375253,96.77
HENRY SNYDER,01467285307,98.86
JULIE KIM,01465837280,85.42
FRANK EVANS,01465823735,85.57
FRANCES GONZALEZ,01465738207,71.04
LISA RUIZ,01465328726,70.17
ANNIE LOPEZ,01476352844,89.83
JACK PARKER,01476238553,83.05
MARY JACOBS,01475862326,83.92
ANDREA RODRIGUEZ,01475836244,70.23
SARA BROWN,01475823690,83.76
JANICE LEE,01475328680,72.24
GREGORY YOUNG,01475238690,87.05
AMY DIXON,01473586208,87.45
HAROLD THOMPSON,01473526817,98.47
PHYLLIS ARMSTRONG,01473286590,92.81
EARL LITTLE,01482673517,89.46
FRED KIM,01482537680,99.27
ROBIN WHEELER,01478536217,92.96
ANDREW FREEMAN,01478526335,90.5
CHRIS KELLY,01478356235,91.59
DEBRA REYNOLDS,01478326590,86.07
HOWARD MORENO,01478325607,85.21
LARRY WELCH,01478235608,98.49
PHILIP ROGERS,01476825335,76.8
VIRGINIA THOMPSON,01476385262,78.38
KELLY STEVENS,01487632517,79.63
KENNETH ROSE,01487623526,95.14
FRANK BOWMAN,01487563280,92.43
LOIS CHAVEZ,01486325726,83.92
ELIZABETH WILLIS,01485732662,75.44
KATHLEEN COOPER,01485367271,98.53
JACQUELINE WILSON,01485263735,70.88
DENNIS HENDERSON,01483657280,94.52
DENNIS MEYER,01483627535,98.81
PHILIP HAMILTON,01483257690,77.51
FRED GONZALES,01524873608,91.04
SCOTT MORGAN,01524736880,77.11
ALAN ALEXANDER,01524683744,74.17
ASHLEY ARMSTRONG,01524387690,97.54
JULIE COLLINS,01523867426,82.45
JUDITH RAMIREZ,01523847662,76.82
JOE ALLEN,01523846771,92.68
KATHRYN BLACK,01523674890,90.57
BENJAMIN GRANT,01523647817,97.62
ALICE PARKER,01523468726,82.05
WILLIE CARROLL,01532748671,85.64
JEFFREY PHILLIPS,01532678444,98.49
KENNETH WALLACE,01528674308,83.71
KEVIN FOWLER,01527864308,93.21
HARRY RAMIREZ,01527683435,99.5
PAMELA SPENCER,01527643808,92.22
CHARLES HENDERSON,01527634817,97.37
WAYNE BRADLEY,01527486362,95.6
ALBERT PETERSON,01527364844,78.21
CHRIS COOPER,01526387417,98.61
JACK REYES,01538642735,70.83
MARTIN KELLEY,01537648217,78.86
GERALD WILLIS,01537624890,92.83
DENNIS MATTHEWS,01537248626,80.02
GARY PRICE,01536872407,91
PATRICK ROSE,01536842753,97.13
LISA HOWARD,01536724807,72.64
RUTH JACKSON,01534872671,85.99
ROSE PEREZ,01534276807,78.96
RONALD CHAPMAN,01534268707,88.69
TINA WALLACE,01547682353,86.65
CHARLES FOSTER,01547632844,84.03
GREGORY GREEN,01547326808,93.07
MARY MARTIN,01547283653,79.02
SHIRLEY LAWSON,01546738207,95.76
CAROL SIMS,01543867235,80.17
ASHLEY HUDSON,01543672817,74.66
BEVERLY LITTLE,01542768390,96.1
DEBORAH CRUZ,01542763835,95.72
TAMMY LAWSON,01542687390,75.7
JONATHAN FISHER,01563728435,74.57
KELLY LAWRENCE,01563487217,84.37
JENNIFER ARNOLD,01563284707,86.95
ANTHONY GRIFFIN,01562837435,74.76
SHARON ROSE,01548763217,72.31
LAWRENCE GRIFFIN,01548637262,97.52
DIANA BOWMAN,01548623717,89.18
LAURA BLACK,01548276308,76.34
MARIA SMITH,01548237671,89.89
LARRY FRANKLIN,01547683244,78.11
MICHELLE RUIZ,01567483208,99.61
BENJAMIN BELL,01567384226,75.58
RAYMOND HANSON,01567342817,97.21
STEVEN CUNNINGHAM,01567234844,91.51
JONATHAN FIELDS,01564723844,91.84
JANET CUNNINGHAM,01564387208,78.89
PHILLIP HARRISON,01564287335,71.19
KATHRYN GONZALEZ,01563847280,98.49
RYAN HENDERSON,01563842726,76.6
ANNE HAMILTON,01568342780,80.85
PAUL HAYES,01573864226,70.31
ROGER HAYES,01573684244,70.06
JUDY RICHARDSON,01573682462,94.21
EVELYN BURKE,01573268453,71.59
REBECCA FOX,01572864362,94.71
WAYNE WELCH,01572846380,76.48
BRUCE AUSTIN,01572638435,73.33
JAMES CLARK,01572346817,81.27
TODD OLIVER,01568734271,80.01
DEBRA MENDOZA,01568374208,74.94
JOSE ELLIS,01583267417,79.93
ANDREW CRUZ,01582647380,74.62
ROBIN HUNT,01582476390,76.76
ANGELA PETERSON,01582473617,95.9
ASHLEY HERNANDEZ,01578623480,84.1
MARK COLLINS,01578426308,75.89
RACHEL BRYANT,01578324653,83.65
SHIRLEY MONTGOMERY,01576284344,83.88
IRENE WILSON,01576243826,97.56
GEORGE JOHNSON,01574836226,90.64
CHARLES ALVAREZ,01586723480,93.7
DIANA WELCH,01586427326,90.8
CLARENCE KELLY,01586342762,75.88
HAROLD FOSTER,01586274317,85.2
ALICE GRANT,01586243780,74.35
JOSHUA GORDON,01584372680,94.99
DENNIS ROSE,01583764208,95.35
SHIRLEY CASTILLO,01583672435,81.5
BOBBY HICKS,01583467262,86.74
DONNA CRAWFORD,01583426744,94.38
LORI MYERS,01623745853,88.21
JESSICA COOPER,01623578426,81.38
NICOLE COX,01623574862,88.61
IRENE GREEN,01623547890,79.37
EUGENE ALLEN,01587623471,76.47
SANDRA SNYDER,01587436280,82.49
ROGER MATTHEWS,01587426307,76.71
DENNIS SIMPSON,01587342626,72.96
DEBRA BOYD,01587243644,77.84
PATRICIA CRAWFORD,01586742353,81.28
VICTOR KELLEY,01628453753,89.79
MICHAEL RICHARDSON,01628347562,71.07
JANET MARTIN,01627483535,86.37
DONALD MORGAN,01627354808,72.56
AARON BOWMAN,01625847335,96.61
JOYCE MURPHY,01625473826,83.22
WALTER MYERS,01625387407,81.25
ROGER GRIFFIN,01625347871,82.76
HELEN JAMES,01624538762,70.11
DORIS HARVEY,01623854717,80.31
TINA HUNTER,01634527844,89.77
HAROLD COLLINS,01634258762,85.41
STEVE MITCHELL,01634257871,98.23
KATHERINE COOK,01632854708,97.72
AMY JOHNSON,01632754835,91.87
ROSE GIBSON,01632487535,78.8
TINA ALEXANDER,01632458780,99.91
ROBIN HUNTER,01628734507,75.21
ANNIE WARD,01628547308,88.81
RYAN DEAN,01628457317,98.92
DEBORAH BURNS,01642573817,87.44
KATHRYN OLSON,01642375853,95.38
JOSEPH PHILLIPS,01638742553,76.83
BRUCE PARKER,01638452717,85.89
KELLY HALL,01638275408,71.94
ANNE BRADLEY,01637548290,74.41
GLORIA REED,01637458207,75.1
PETER WALKER,01635874262,72.48
SHAWN HAWKINS,01635784271,94.89
MARY SULLIVAN,01634782526,87.61
IRENE HAYES,01643875280,90.39
JAMES LARSON,01643852744,97.4
WILLIE HARRIS,01643578235,92.72
SEAN GREEN,01643278517,75.96
MARIE GRIFFIN,01642857335,96.75
JANET FERNANDEZ,01642783544,78.4
STEVEN ORTIZ,01642583707,93.4
SHIRLEY RICE,01645823717,77.67
MARIA WILLIAMS,01645378217,70.32
BILLY GONZALES,01645328708,71.92
IRENE FULLER,01653724862,73.85
HOWARD ORTIZ,01653284790,97.26
KATHLEEN WHEELER,01652784390,92.55
BARBARA RILEY,01652734880,76.91
NORMA MORGAN,01652378480,86.18
GARY MARTIN,01648752390,81.66
TIMOTHY LONG,01648237517,77.04
HAROLD PETERSON,01647532817,86.73
ROBERT KING,01647352835,78.56
DENNIS GORDON,01647235871,74.57
MARGARET MORGAN,01657834271,85.78
SEAN COOPER,01657832490,99.99
ANTONIO ALVAREZ,01657342808,72.5
CHARLES LYNCH,01657284344,78.69
DOROTHY WOOD,01657243826,84.03
JUDY RIVERA,01654873217,86.21
RYAN NICHOLS,01654237817,83.53
JEREMY NELSON,01653748290,91.73
DENISE JORDAN,01653728426,85.65
JULIA CLARK,01658274326,91.18
PATRICIA MORENO,01674582307,80.57
DOROTHY ARMSTRONG,01674528353,73.58
LILLIAN GREEN,01674328508,74.32
JONATHAN PATTERSON,01674235844,87.25
ROGER MARTIN,01673428517,70.08
DEBRA PIERCE,01672483590,85.73
PAUL CRAWFORD,01672435862,82.12
PAULA WARD,01672384508,97.72
RICHARD DUNN,01658437217,70.27
SHARON ANDERSON,01658342771,74.21
CRAIG PHILLIPS,01682435717,83.75
ROBERT ELLIS,01682347508,92.71
WANDA LITTLE,01678542326,85.89
WANDA COOK,01678435244,83.8
JESSE FOX,01678354244,90.03
RAYMOND DIXON,01678342580,91.47
NICOLE RIVERA,01678324507,91.8
HARRY FULLER,01675843244,97.25
NICHOLAS WRIGHT,01675823480,76.28
TODD KNIGHT,01675283435,98.36
KATHERINE CAMPBELL,01685732453,74.13
DENNIS HAYES,01685347207,88.93
ANNE BRADLEY,01685243762,79.64
MARGARET FOX,01684573262,80.43
AARON MARTINEZ,01684523753,86.84
RUTH FERNANDEZ,01684237580,93.95
JOYCE PETERS,01683724526,93.16
JAMES ELLIOTT,01682743535,82.98
PHYLLIS BARNES,01682734544,77.7
JANICE PATTERSON,01682453707,87.23
ANTHONY RUIZ,01725463890,85.78
SARA PERRY,01725386453,82.28
IRENE PARKER,01724685317,86.62
JACK ROSS,01724586335,98.68
ERNEST GORDON,01723684562,78.24
TINA MCDONALD,01723465844,76.38
CATHERINE CRUZ,01687452326,71.57
JACQUELINE HERNANDEZ,01687342571,76.09
BEVERLY NICHOLS,01687245371,87.33
BARBARA CLARK,01687243590,72.5
THERESA MENDOZA,01732658471,70.22
CATHERINE DIXON,01732568480,88.41
JUSTIN FRAZIER,01732456844,99.03
EARL WALLACE,01728463580,79.67
AMANDA MARTINEZ,01726853462,97.72
KIMBERLY ANDERSON,01726584380,81.96
BRENDA ALLEN,01726385426,78.94
SANDRA ARMSTRONG,01725863480,72.5
SAMUEL GRANT,01725834626,89.14
JACQUELINE RUIZ,01725634880,81.71
KEVIN ELLIOTT,01735864226,86.71
JOSE REYES,01735824607,74.76
ROGER DAY,01735684244,75.9
EARL REYNOLDS,01735648280,91.3
ROY FRANKLIN,01735284653,71.5
TAMMY STEVENS,01735268453,93.67
KATHERINE GIBSON,01734562862,89.12
WALTER WHITE,01732864535,73.72
GREGORY JOHNSON,01732845662,91.97
ANGELA SCOTT,01732685444,78.11
JEREMY WHEELER,01745326871,92.97
GARY MARTINEZ,01745286390,72.37
ERNEST COOPER,01745283617,85.53
FRED ROSE,01743852690,99.2
ANGELA LEE,01743685262,90.95
WALTER GIBSON,01742638562,75.12
RANDY MORRIS,01742365817,97.57
KATHERINE STEWART,01738526453,72.1
TIMOTHY ALEXANDER,01738246507,78.39
CAROLYN HUNTER,01746532807,81.53
BOBBY JORDAN,01752843690,94.38
RUTH KELLY,01752836480,76.76
BILLY WILLIAMS,01752683471,85.89
IRENE FRANKLIN,01752483626,84.72
TAMMY REID,01752463862,81.1
LILLIAN WARREN,01748536290,90.53
BENJAMIN ELLIOTT,01748532626,78.51
KAREN BANKS,01748352644,83.7
JOSE ROBERTS,01746835290,73.85
ROGER MILLER,01746582308,85.3
HARRY GRANT,01753826462,94.29
NORMA FOX,01753824680,90.54
ANDREA SULLIVAN,01753684226,94.06
EMILY RUSSELL,01753628407,86.37
KENNETH CAMPBELL,01753624835,78.34
LORI GARCIA,01753426871,78.06
ROBIN CARROLL,01753284635,96.21
PAULA FORD,01754683207,70.41
JACQUELINE GOMEZ,01754386253,95.84
BRENDA BUTLER,01754236871,90.79
PATRICIA KELLY,01762483580,99.95
JESSE MCDONALD,01762385490,89.53
CARLOS SIMMONS,01758462353,93.83
RUSSELL HAMILTON,01758432608,79.33
CAROL HARVEY,01758364262,90.27
NORMA CARTER,01758263407,85.33
JOSHUA JAMES,01756834253,91.63
RACHEL GUTIERREZ,01756342890,94.51
MARY HAWKINS,01754862390,96.03
RONALD ALLEN,01754826326,85.23
JONATHAN CHAPMAN,01764382544,72.7
ROGER PORTER,01764358244,70.01
EUGENE CLARK,01764328507,95.86
JOHN HUGHES,01763825426,86.63
DEBORAH GEORGE,01763582426,96.03
SAMUEL MORGAN,01763248526,76.47
SCOTT WAGNER,01762843544,91.58
HEATHER WILLIAMSON,01762834553,89.7
THERESA KENNEDY,01762583453,97.74
JONATHAN WATSON,01762548380,80.55
JANET TORRES,01784253626,88.67
VIRGINIA BOYD,01783654244,98.54
BENJAMIN ELLIS,01783254653,76.98
SANDRA GUTIERREZ,01782563407,85.38
ANNA PETERS,01768342571,81.68
DEBORAH STEPHENS,01768253471,85.04
PAUL DANIELS,01768245371,79.04
HOWARD STANLEY,01765342880,88.8
JOSHUA WILSON,01764835271,76.84
MARIE CARTER,01764532880,75
MARTIN TURNER,01824376553,91.72
ADAM FRAZIER,01786542307,90.73
MARILYN REYNOLDS,01786342553,94.14
MARK PERKINS,01786324571,81.36
PETER SIMPSON,01785643207,90.37
STEPHEN WEAVER,01785642308,96.72
ASHLEY PHILLIPS,01785623435,76.62
JOSE WEAVER,01785362453,75.36
SARA BELL,01784632562,78.04
MARTHA GONZALEZ,01784326526,90.67
PAUL LYNCH,01826453717,96.28
GREGORY PORTER,01826437517,99.84
RUSSELL WELCH,01826354735,83.44
STEVEN COLE,01826347526,82.06
JOE DANIELS,01825674353,99.43
NORMA REYES,01825647380,86.88
PETER HARPER,01825637407,97.5
ELIZABETH MOORE,01824756380,93.25
JIMMY GARCIA,01824653735,98.74
PATRICIA CLARK,01824537662,75.2
ANDREA BURNS,01834567262,93.36
RACHEL LAWRENCE,01834562708,99.55
CYNTHIA ALEXANDER,01834275644,97.06
RONALD WATKINS,01832645762,85.72
MARIE WOODS,01832547671,70.15
KAREN TUCKER,01827546344,72.34
CHRIS HALL,01827456353,86.33
RAYMOND HANSEN,01827345608,80.82
JESSE BURTON,01826743553,71.1
DORIS GEORGE,01826734562,87.95
EVELYN NICHOLS,01836452780,94.13
SEAN CHAPMAN,01836257490,73.34
ANNIE ALLEN,01835746217,83.42
CAROLYN MEYER,01835742653,93.65
ROBERT HENDERSON,01835724671,71.72
JESSICA MORGAN,01835674208,82.81
DOROTHY PETERS,01835624707,85.97
FRED HUDSON,01834752671,98.15
CHRISTINA CASTILLO,01834672562,70.17
DENISE BRYANT,01834576253,87.49
KEVIN BAILEY,01843265753,93.34
JACQUELINE FULLER,01842765353,70.03
BILLY PHILLIPS,01842635735,93.8
KIMBERLY ADAMS,01842536753,91.54
KEITH GONZALES,01842357662,85.5
JANE JACOBS,01837465207,70.44
ANN FOX,01837256462,87.67
NICHOLAS CARROLL,01837254680,98.69
RUTH CRAWFORD,01836745290,87.55
DEBORAH GIBSON,01836457235,92.68
ERNEST REYES,01846527317,80.05
JIMMY BOYD,01846357217,76.66
MARTHA MARSHALL,01846275326,98.49
JANE ARMSTRONG,01845732626,87
BRUCE HANSEN,01845726308,78.79
JOE RICHARDS,01845673271,92.12
ALAN BOWMAN,01845362780,73.36
ASHLEY BOWMAN,01843756226,73.43
VIRGINIA MURPHY,01843527626,78.81
MICHAEL JOHNSTON,01843267535,93.27
TODD PERRY,01854362771,81.33
CATHERINE KELLY,01853764280,88.09
ANTONIO WARD,01853746207,87.48
ALBERT VASQUEZ,01852763426,81.62
FRED FREEMAN,01852473690,74.21
PETER PERKINS,01847635253,83.71
ANNE TUCKER,01847623590,85.31
CRAIG RAY,01847365280,89.46
GREGORY WALLACE,01847362508,79.79
CLARENCE JACKSON,01846572371,94.51
CLARENCE BROWN,01857642317,91.57
ROBERT KELLEY,01857463226,96.86
MARK PETERSON,01857246390,75.49
ALICE DEAN,01856724344,74.12
GEORGE MURPHY,01856473244,95.41
JANE HARPER,01856327426,98.32
CHARLES MORRISON,01856324753,99.56
WILLIAM OWENS,01856243753,84.47
JOE DANIELS,01856237435,99.86
JONATHAN HICKS,01854732617,74.32
JUDITH ELLIOTT,01865732435,85.85
JUDY RUIZ,01864735244,89.1
KATHY MORRIS,01864325771,94.14
MICHAEL RUSSELL,01864273526,86.94
JOHN PEREZ,01864253762,72.09
CHARLES COOPER,01863752471,96.39
TERRY FOWLER,01863475290,85.35
JEAN GONZALEZ,01862743517,76.52
ANDREA BAKER,01862574308,88.38
JEREMY THOMPSON,01862547335,94.52
JOAN HANSEN,01872645380,71.43
ROSE DUNN,01872463517,82.31
JOAN WARD,01872436544,96.65
JEAN ALLEN,01872365426,71.31
JASON MOORE,01867532417,88.5
BRENDA WELCH,01867524317,92.53
CHERYL PRICE,01867453207,71.45
DAVID HART,01867425335,79.92
LILLIAN ROBERTSON,01867254344,92.7
DENNIS SMITH,01867235471,80.77
JOHN ANDERSON,01874653208,82.38
STEVEN WILLIS,01874635226,95.81
MARK SHAW,01874536244,85.22
ALBERT SCHMIDT,01874265380,76.98
DONNA HARRISON,01874236526,85.82
TERRY ALEXANDER,01873624590,88.72
CHRISTINE DAVIS,01873546262,78.74
KIMBERLY FERGUSON,01873542607,76.11
SARAH WARD,01873526407,79.02
ANGELA PHILLIPS,01873245653,91.28
CARLOS HUDSON,02136475835,73.49
GLORIA KING,02135487635,80.61
DIANE THOMPSON,02134865717,81.73
JESSE WASHINGTON,02134587644,80.28
LAWRENCE HAYES,02134586753,97.75
MARTHA GONZALEZ,01876324562,82.84
JUAN SMITH,01876254335,70.12
MARILYN FRANKLIN,01876245344,86.81
JACQUELINE JONES,01876243562,88.83
JEAN WHITE,01876235462,76.72
PHILLIP STEVENS,02143758626,98.49
EVELYN FERGUSON,02143685726,92.46
JEFFREY CHAVEZ,02143675844,79.11
MATTHEW ARMSTRONG,02143587635,84.4
TERESA JORDAN,02138564762,84.87
KEITH SCHMIDT,02138465780,70.99
FRANK BARNES,02138457680,96.09
CAROL LANE,02137854635,95.86
KEITH COOK,02137845644,92.29
PAUL KENNEDY,02137456826,89.24
BRIAN LYNCH,02147568317,91.89
WILLIE BRYANT,02147386553,81.05
FRED JACKSON,02147356808,88.56
JANICE COLEMAN,02146583762,77.44
CHARLES MURRAY,02146387580,94.1
PAMELA ROBERTS,02145873635,81.77
TERESA JACKSON,02145736808,93.07
BARBARA HAYES,02145637826,89.23
BETTY STONE,02145386726,97.84
MARGARET WEAVER,02145378626,79.14
MATTHEW THOMPSON,02156874344,92
CHRIS MCDONALD,02156437807,72.03
LOIS ARMSTRONG,02156347808,86.96
NICOLE TAYLOR,02154863744,86.98
JANICE RICHARDS,02154783635,76.46
ADAM MONTGOMERY,02154683762,91.22
WAYNE HUNT,02154387608,95.52
LILLIAN HUGHES,02153874653,97.67
VICTOR FERNANDEZ,02153764807,80.39
STEPHEN PERKINS,02148563726,94.09
ROBIN EVANS,02164583744,99.04
JIMMY GEORGE,02164537807,70.28
VIRGINIA HAYES,02163748553,87.5
JAMES GONZALEZ,02163478580,78.07
JOYCE RILEY,02158634707,87.2
WILLIAM SIMPSON,02158463708,84.04
ERIC THOMPSON,02158367407,87.74
MARIA COLE,02157836462,91.06
TODD WHITE,02157486380,76.16
JERRY YOUNG,02157368426,86.44
PHYLLIS BAKER,02167543808,75.83
DONALD AUSTIN,02167458371,94.68
REBECCA WELCH,02165873444,89.15
WILLIE OWENS,02165384753,93.86
JOHN HARPER,02165374871,75.86
DEBORAH DAVIS,02164875362,80.63
CHRISTINA WILSON,02164857380,80.72
RICHARD WARREN,02164853717,96.3
